Date;Point;Day/Night;CO2 flux  Micromol/m2/s;CH4 flux Micromol/m2/s;Ground_temperature;Air_temeprature;Atmospheric_pressure;RH;Dew_point;PAR_start;PAR_end;vegetation;Water_level_cm;Water_level_msnm
2021-04-28;1;d;0.006;0.002390;13.9;19.4;753.1;66.8;12.3;1805;850;macrofita;7.7;3003.43
2021-04-28;1;n;6.910;0.002300;13.9;20.7;753.1;59.1;14.4;0;0;macrofita;7.7;3003.43
2021-04-28;1;d;0.912;0.000753;13.9;19.1;753.1;56.5;11.8;791;557;macrofita;7.7;3003.43
2021-04-28;1;n;;0.002770;13.9;17.2;753.1;70.6;11.8;0;0;macrofita;7.7;3003.43
2021-04-28;2;d;3.630;0.011200;13.6;17.6;753.9;70.3;12.1;314;299;Chusquea ;2.0;3008.87
2021-04-28;2;n;5.800;0.013100;13.5;17.3;753.9;64.9;10.7;0;0;Chusquea ;2.0;3008.87
2021-04-28;2;d;5.140;0.016100;13.4;15.1;753.9;76.2;10.9;236;283;Chusquea ;2.0;3008.87
2021-04-28;2;n;5.090;0.011300;13.3;17.7;753.9;70.2;12.2;0;0;Chusquea ;2.0;3008.87
2021-04-29;3;d;9.020;0.024900;13.1;18.5;754.7;66.1;13.8;517;485;macrofita;0.0;3010.57
2021-04-29;3;n;7.100;0.013900;13.1;18.1;754.7;65.9;13.6;0;0;macrofita;0.0;3010.57
2021-04-29;3;d;9.370;0.019000;13.1;17.5;754.7;78.1;13.2;526;1115;macrofita;0.0;3010.57
2021-04-29;3;n;6.190;0.008060;13.1;18.0;754.7;79.4;13.5;0;0;macrofita;0.0;3010.57
2021-04-29;4;d;0.422;0.007140;13.3;19.1;754.9;65.2;15.3;773;329;Sphagnum;-1.0;3011.47
2021-04-29;4;n;;0.003440;13.3;18.2;754.9;71.2;13.2;0;0;Sphagnum;-1.0;3011.47
2021-04-29;5;d;1.130;0.003320;13.7;17.9;753.2;63.3;11.4;326;216;Sphagnum;2.0;3007.94
2021-04-29;5;n;2.060;0.002330;13.6;17.6;753.2;70.1;12.1;0;0;Sphagnum;2.0;3007.94
2021-05-12;6;d;8.020;;12.8;13.0;754.1;81.7;10.0;437;547;Sphagnum;-1.0;3011.13
2021-05-12;6;n;5.900;0.863000;12.7;13.3;754.1;82.1;10.4;0;0;Sphagnum;-1.0;3011.13
2021-05-12;7;d;-4.780;0.007750;12.6;14.0;755.3;74.1;11.1;1127;791;macrofita;0.5;3009.79
2021-05-12;7;n;3.230;0.015500;12.5;16.4;755.3;70.5;12.7;0;0;macrofita;0.5;3009.79
2021-05-12;8;d;-0.786;0.003110;12.6;14.5;755.6;76.9;9.9;566;544;macrofita;15.0;2995.44
2021-05-12;8;n;0.279;0.002150;12.6;16.2;755.6;72.1;11.6;0;0;macrofita;15.0;2995.44
2021-05-12;9;d;0.451;-0.000194;12.8;15.5;755.9;74.1;10.7;821;670;macrofita;8.0;3003.06
2021-05-12;9;n;0.458;-0.000555;12.6;15.1;755.9;75.1;10.9;0;0;macrofita;8.0;3003.06
2021-05-12;10;d;2.340;0.013300;12.6;15.9;755.9;74.6;12.2;696;1122;macrofita;4.0;3007.28
2021-05-12;10;n;2.160;0.009890;12.6;17.2;755.9;71.1;11.8;0;0;macrofita;4.0;3007.28
2021-05-12;11;d;-1.270;0.003030;12.1;16.0;754.2;72.7;11.0;586;610;macrofita;36.0;2975.09
2021-05-12;11;n;1.570;0.003110;12.1;16.2;754.2;66.8;10.5;0;0;macrofita;36.0;2975.09
2021-05-12;12;d;0.228;0.002190;12.3;13.8;755.3;82.2;9.7;511;355;Sphagnum;4.0;3006.46
2021-05-12;12;n;1.020;0.001160;12.3;13.6;755.3;81.3;10.5;0;0;Sphagnum;4.0;3006.46
2021-05-12;13;d;-1.680;-0.021100;13.1;16.8;754.9;71.8;11.6;1356;982;macrofita;-2.0;3012.46
2021-05-12;13;n;0.639;0.004290;13.1;16.0;754.9;63.3;11.4;0;0;macrofita;-2.0;3012.46
2021-05-12;14;d;0.466;0.004040;12.4;15.2;753.2;75.4;10.4;951;1479;macrofita;4.0;3006.28
2021-05-12;14;n;0.802;0.006170;12.3;15.3;753.2;72.1;10.5;0;0;macrofita;4.0;3006.28
2021-05-12;15;d;-0.605;0.009050;12.5;13.7;754.1;77.7;10.2;555;320;Sphagnum;1.2;3008.98
2021-05-12;15;n;0.121;0.000206;12.5;14.4;754.1;78.0;10.7;0;0;Sphagnum;1.2;3008.98
2021-05-12;16;d;9.590;0.001200;12.7;15.7;755.3;75.8;12.4;1448;916;macrofita;1.0;3009.28
2021-05-12;16;n;4.000;0.003250;12.6;15.4;755.3;73.5;10.8;0;0;macrofita;1.0;3009.28
2021-05-12;17;d;-1.880;0.004740;12.5;16.0;755.6;72.1;11.2;802;1389;Sphagnum;4.0;3006.04
2021-05-12;17;n;2.480;0.003720;12.5;17.6;755.6;67.7;11.5;0;0;Sphagnum;4.0;3006.04
2021-05-12;18;d;-0.490;0.006800;12.9;16.7;755.9;74.2;12.0;1878;1076;macrofita;8.0;3002.33
2021-05-12;18;n;0.438;0.001810;12.9;18.8;755.9;69.2;12.9;0;0;macrofita;8.0;3002.33
2021-05-12;19;d;-0.403;0.004100;12.9;18.9;755.9;67.4;13.1;1130;920;macrofita;26.0;2984.79
2021-05-12;19;n;3.840;0.001480;12.8;19.0;755.9;69.3;13.8;0;0;macrofita;26.0;2984.79
2021-05-12;20;d;-0.608;0.001870;12.9;19.8;756.2;66.8;13.3;1332;1006;macrofita;1.3;3009.80
2021-05-12;20;n;0.921;0.002270;12.8;16.9;756.2;70.0;11.7;0;0;macrofita;1.3;3009.80
2021-05-18;1;d;-6.170;0.008470;15.1;17.8;714.6;65.8;10.6;1129;1121;macrofita;7.7;3003.43
